what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1350973999762
opened,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1350974011578
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1350974013579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974013837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974018106
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1350974018629
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1350974027546
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1350974028190
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350974028836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350974043876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350974052195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350974052600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1350974053173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1350974058655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350974063528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974065559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974190290
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1350974197336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350974198587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974202583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974203596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974203918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974205720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974206822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974234379
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1350974235705
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1350974242111
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1350974247035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974248502
activated,view,com.android.ide.eclipse.ddms,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ddms.views.LogCatView",1350974492799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974674431
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350974683808
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1350974705142
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1350974705238
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1350974729241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350974730436
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350974730557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350974734493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350974757358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350974771178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350975124976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350975145518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350975751400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350975763260
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1350975789188
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350975798203
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1350975816382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350975824265
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1350975824661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350975824854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350975824877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1350975825808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350975829930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350975875747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350975986228
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1350976026777
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350976030206
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1350976038984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1350976047653
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350976050064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1350976074557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1350976076975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1350976077322
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350976088372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350976090096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350976091405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350976101226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350976102066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350976102479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350976179849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350976184389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1350976185265
