what,kind,bundleId,bundleVersion,description,time
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168626
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168629
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168636
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168639
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168644
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168647
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168652
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168655
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168660
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168663
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168667
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168669
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168675
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168677
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168682
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168684
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168687
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168692
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\secondary_text_light.xml",1350816168696
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_dark.xml",1350816168743
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168745
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816168999
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\secondary_text_light.xml",1350816169751
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\secondary_text_dark.xml",1350816169770
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816169772
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816170103
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816170192
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816170197
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816170201
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816170290
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\secondary_text_light.xml",1350816170294
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816170308
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\secondary_text_light.xml",1350816170312
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_up_btn.xml",1350816171132
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_input.xml",1350816171145
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171148
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171151
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_down_btn.xml",1350816171169
error,log,,,"palette: Failed to configure parser for C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\color\\primary_text_light.xml",1350816171202
error,log,,,"palette: Failed to parse file C:\\Users\\Saman\\AppData\\Local\\Android\\android-sdk\\platforms\\android-14\\data\\res\\drawable\\numberpicker_up_btn.xml",1350816171205
